07-04-2026 18:59:32 | GET | cafeteria-api/produtos
07-04-2026 18:59:32 | GET | cafeteria-api/produtos
07-04-2026 18:59:32 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:59:42 | OPTIONS | cafeteria-api/pedido-itens
07-04-2026 18:59:42 | POST | cafeteria-api/pedido-itens
07-04-2026 18:59:42 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:59:45 | POST | cafeteria-api/pedido-itens
07-04-2026 18:59:45 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:59:49 | OPTIONS | cafeteria-api/pedido-itens
07-04-2026 18:59:49 | POST | cafeteria-api/pedido-itens
07-04-2026 18:59:49 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:59:52 | POST | cafeteria-api/pedido-itens
07-04-2026 18:59:52 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:59:54 | OPTIONS | cafeteria-api/pedido-itens
07-04-2026 18:59:54 | POST | cafeteria-api/pedido-itens
07-04-2026 18:59:54 | GET | cafeteria-api/pedido-itens/3
07-04-2026 19:00:18 | GET | cafeteria-api/pedidos
07-04-2026 19:00:27 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 19:00:27 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:27 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:27 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:27 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:27 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:28 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:28 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:28 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:29 | OPTIONS | cafeteria-api/pedidos/4
07-04-2026 19:00:29 | DELETE | cafeteria-api/pedidos/4
07-04-2026 19:00:29 | GET | cafeteria-api/pedidos
07-04-2026 19:00:29 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:29 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:30 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:30 | OPTIONS | cafeteria-api/pedidos/5
07-04-2026 19:00:30 | DELETE | cafeteria-api/pedidos/5
07-04-2026 19:00:30 | GET | cafeteria-api/pedidos
07-04-2026 19:00:31 | OPTIONS | cafeteria-api/pedidos/6
07-04-2026 19:00:31 | DELETE | cafeteria-api/pedidos/6
07-04-2026 19:00:31 | GET | cafeteria-api/pedidos
07-04-2026 19:00:31 | OPTIONS | cafeteria-api/pedidos/7
07-04-2026 19:00:31 | DELETE | cafeteria-api/pedidos/7
07-04-2026 19:00:31 | GET | cafeteria-api/pedidos
07-04-2026 19:00:32 | OPTIONS | cafeteria-api/pedidos/8
07-04-2026 19:00:32 | DELETE | cafeteria-api/pedidos/8
07-04-2026 19:00:32 | GET | cafeteria-api/pedidos
07-04-2026 19:00:32 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 19:00:32 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:32 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:32 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:33 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:33 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:33 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:33 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:33 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:33 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:34 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:34 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:34 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:34 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:34 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:35 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:35 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:35 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:48 | GET | cafeteria-api/pedidos
07-04-2026 19:00:50 | GET | cafeteria-api/produtos
07-04-2026 19:00:50 | GET | cafeteria-api/pedido-itens/3
07-04-2026 19:00:51 | OPTIONS | cafeteria-api/pedido-itens/5
07-04-2026 19:00:51 | DELETE | cafeteria-api/pedido-itens/5
07-04-2026 19:00:51 | GET | cafeteria-api/pedido-itens/3
07-04-2026 19:00:52 | OPTIONS | cafeteria-api/pedido-itens/6
07-04-2026 19:00:52 | DELETE | cafeteria-api/pedido-itens/6
07-04-2026 19:00:52 | GET | cafeteria-api/pedido-itens/3
07-04-2026 19:00:52 | OPTIONS | cafeteria-api/pedido-itens/7
07-04-2026 19:00:52 | DELETE | cafeteria-api/pedido-itens/7
07-04-2026 19:00:52 | GET | cafeteria-api/pedido-itens/3
07-04-2026 19:00:52 | OPTIONS | cafeteria-api/pedido-itens/8
07-04-2026 19:00:52 | DELETE | cafeteria-api/pedido-itens/8
07-04-2026 19:00:52 | GET | cafeteria-api/pedido-itens/3
07-04-2026 19:00:53 | OPTIONS | cafeteria-api/pedido-itens/9
07-04-2026 19:00:53 | DELETE | cafeteria-api/pedido-itens/9
07-04-2026 19:00:53 | GET | cafeteria-api/pedido-itens/3
07-04-2026 19:00:53 | GET | cafeteria-api/pedidos
07-04-2026 19:00:55 | GET | cafeteria-api/pedido-itens/3
07-04-2026 19:00:55 | GET | cafeteria-api/produtos
07-04-2026 19:00:56 | GET | cafeteria-api/pedidos
07-04-2026 19:00:57 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 19:00:57 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:00:57 | GET | cafeteria-api/pedidos
07-04-2026 19:00:59 | GET | cafeteria-api/pedidos
07-04-2026 19:00:59 | GET | cafeteria-api/pedidos
07-04-2026 19:00:59 | GET | cafeteria-api/pedidos
07-04-2026 19:00:59 | GET | cafeteria-api/pedidos
07-04-2026 19:01:00 | GET | cafeteria-api/pedidos
07-04-2026 19:01:00 | GET | cafeteria-api/pedidos
07-04-2026 19:01:00 | GET | cafeteria-api/pedidos
07-04-2026 19:01:00 | GET | cafeteria-api/pedidos
07-04-2026 19:01:00 | GET | cafeteria-api/pedidos
07-04-2026 19:01:00 | GET | cafeteria-api/pedidos
07-04-2026 19:01:01 | GET | cafeteria-api/pedidos
